x y z
0.52 7.3 0
3.81 1.45 0
-0.62 -3.86 0
-1.06 -0.27 1
0.87 4.08 0
3.97 0.87 0
-2.5 -1.66 0
-3.17 -0.95 0
-3.16 -1.58 0
-1.07 0.36 1
-2.4 -2.14 1
-0.26 5.47 0
8.65 -0.03 0
0.14 0.64 1
-1.58 2.05 1
-0.49 -0.56 1
-1.72 -1.73 1
-0.53 0.96 1
-0.42 0.1 1
4.49 2.02 0
-0.02 -1.69 1
-1.37 -3.53 0
-1.21 0.56 1
-2.03 -0.03 1
2.6 -2.24 1
1.67 -0.23 1
2.01 -1.97 1
-2.52 1.62 1
1.21 -1 1
0.43 -2.43 1
-3.55 -2.94 0
-2.2 4.93 0
-2.39 -0.65 1
0.05 5.78 0
-2.57 -2.37 0
0.13 -0.27 1
-1.29 -2.18 0
-0.73 -0.02 1
5.94 3.07 0
0.48 -3.1 1
-0.05 1.31 1
1.19 -3.13 1
-1.98 -1.74 1
-1.66 -3.53 0
-0.37 0.53 1
-4.52 2.04 1
0.83 3.93 0
-0.5 1.11 1
2.77 -1.16 1
-1.5 -2.11 1
2.59 -0.73 0
-1.98 -0.65 1
-1.89 4.03 0
-0.54 0.86 1
-0.21 0.44 1
-1 0.02 1
2.06 -0.6 1
2.27 -2 1
-2.98 0.3 0
-2.23 -0.97 1
6.14 -3.1 0
8.25 1.15 0
-1.41 1.24 1
0.07 -0.28 1
0.64 0.94 1
0.39 2.15 1
-1.01 -2.94 0
1.7 -0.97 1
-3.41 -1.08 0
-1.92 4.56 1
3.43 0.59 0
0.98 0.11 1
-0.71 -0.73 1
-0.02 -2.65 1
0.5 0.37 1
3.24 -0.43 1
0.89 -3.51 1
-1.53 -3.88 0
2.92 0.81 0
2.54 1.34 1
-1.83 2.81 1
-1.61 2.92 1
-1.24 0.13 1
-1.85 1.57 0
-2 -4.2 0
-0.16 -0.64 1
-3.88 -1.8 0
6.39 -1.92 0
-1.61 0.13 1
-3.71 2.61 1
-3.04 3.71 0
9.29 -0.52 0
-4.02 -0.8 0
-1.66 -0.3 1
